,customer_lifetime_value,total_claim_amount,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
0,2763.519279,384.811147,56274,69,32,5,0,1
1,6979.535903,1131.464935,0,94,13,42,0,8
2,12887.43165,566.472247,48767,108,18,38,0,2
3,7645.861827,529.881344,0,106,18,65,0,7
4,2813.692575,138.130879,43836,73,12,44,0,1
5,8256.2978,159.383042,62902,69,14,94,0,2
6,5380.898636,321.6,55350,67,0,13,0,9
7,7216.100311,363.02968,0,101,0,68,0,4
8,24127.50402,511.2,14072,71,13,3,0,2
9,7388.178085,425.527834,28812,93,17,7,0,8
10,4738.992022,482.4,0,67,23,5,0,3
11,8197.197078,528.0,0,110,27,87,0,3
12,8798.797003,472.029737,77026,110,9,82,2,3
13,8819.018934,528.0,99845,110,23,25,1,8
14,5384.431665,307.139132,83689,70,21,10,2,8
15,7463.139377,42.920271,24599,64,12,50,1,2
16,2566.867823,454.245098,25049,67,14,7,0,1
17,3945.241604,647.442031,28855,101,12,59,0,1
18,5710.333115,308.981664,51148,72,9,1,0,7
19,8162.617053,484.8,66140,101,11,21,0,3
20,2872.051273,355.2,57749,74,31,21,0,1
21,3041.791561,379.2,13789,79,8,49,0,1
22,24127.50402,511.2,14072,71,13,3,0,2
23,2450.190996,554.376763,0,73,4,44,3,1
24,2392.10789,439.2,17870,61,30,91,0,1
25,5802.065978,389.185006,97541,72,22,1,0,3
26,3946.372085,799.2,0,111,15,47,0,1
27,5346.916576,516.237951,10511,139,33,64,0,1
28,12902.56014,532.8,86584,111,33,54,2,2
29,3235.360468,384.0,75690,80,17,44,1,1
30,2454.58354,322.294043,23158,63,4,6,1,1
31,18975.45611,615.927769,65999,237,1,14,0,6
32,4715.321344,308.15089,0,65,19,56,0,3
33,5018.885233,302.4,54500,63,28,17,0,6
34,4932.916345,15.437681,37260,62,19,42,0,8
35,5744.229745,204.475147,68987,71,11,40,0,6
36,13891.73567,561.6,42305,117,10,62,0,2
37,7380.976717,436.8,65706,91,19,86,0,8
38,3090.034104,648.0,0,90,7,79,0,1
39,2521.633095,157.397849,53243,66,4,15,2,1
40,2652.061785,484.318536,0,70,7,1,1,1
41,2771.045031,18.918935,50071,71,3,32,0,1
42,3939.00637,882.871945,60021,99,12,28,0,1
43,12231.87968,494.4,43244,103,15,16,0,2
44,2443.665166,292.8,92834,61,15,56,0,1
45,12819.10289,0.517753,10105,172,5,4,3,3
